Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Pellot, Jesse",34:22,4,10,40%,2,7,29%,4,4,100%,2,1,3,3,1,3,3,3,18
"Diaz, Leandro",1:43,0,2,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,1,0,0
"Rivera, Filiberto",25:22,4,7,57%,1,3,33%,4,5,80%,1,4,5,3,0,1,1,0,15
"Orta, Raul",12:59,0,0,0%,1,3,33%,0,0,0%,0,1,1,2,0,0,0,0,3
"Abraham, Ryann",20:24,2,2,100%,3,4,75%,0,0,0%,1,2,3,4,2,3,0,0,13
"Nieves, Joel",30:26,2,5,40%,1,3,33%,3,4,75%,2,5,7,2,2,1,0,0,10
"Ruiz, Gabriel",2:51,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"De Jesus, Manuel",18:17,1,3,33%,0,2,0%,0,0,0%,1,3,4,1,3,1,1,2,2
"Dyer, Alphonse",14:25,1,1,100%,0,1,0%,0,0,0%,0,1,1,1,2,0,0,0,2
"Zayas, Hector",2:11,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Harris, Mike",36:54,13,15,87%,0,2,0%,3,3,100%,5,12,17,1,2,1,0,1,29
Totals:,,28,46,61%,8,25,32%,14,16,88%,12,29,41,17,12,11,6,6,94
