Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Copeland, Donald",30:46,3,5,60%,1,2,50%,2,2,100%,0,5,5,5,3,0,2,0,11
"Ramirez, Edgardo",0:51,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Alvarado, Omar J.",3:53,0,0,0%,0,1,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Ayuso, Elias 'Larry'",28:19,6,9,67%,5,9,56%,0,0,0%,0,1,1,1,2,0,1,0,27
"Orozco, William",1:42,2,2,100%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,4
"Latimer, Antonio",18:39,1,9,11%,2,4,50%,0,0,0%,1,4,5,2,1,2,2,0,8
"Morales, Luis Damian",1:52,0,0,0%,0,0,0%,0,0,0%,0,2,2,0,0,0,0,0,0
"Cortes, David",24:11,1,3,33%,0,2,0%,0,1,0%,0,3,3,3,1,0,2,1,2
"Pinnock, Danilo",31:53,6,12,50%,1,3,33%,0,0,0%,4,1,5,2,2,2,0,0,15
"Santiago, Daniel 'Danny'",22:31,7,9,78%,0,0,0%,0,0,0%,2,8,10,2,1,1,2,4,14
"Falcon, Alexander",6:57,0,1,0%,0,0,0%,2,2,100%,2,1,3,0,0,1,0,0,2
"Aubry, Jeffrion",18:21,3,3,100%,0,0,0%,1,1,100%,2,1,3,0,2,0,0,1,7
"Cruz, Cesar Gabriel",0:51,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Erazo, Armando",2:43,0,0,0%,0,1,0%,0,0,0%,0,0,0,2,0,1,0,0,0
"Caro, Ismael",6:31,0,1,0%,0,1,0%,0,0,0%,0,1,1,1,1,0,0,0,0
Totals:,,29,54,54%,9,24,38%,5,6,83%,11,28,39,18,14,7,9,6,90
