Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Western, Franklin",7:40,2,4,50%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,0,4
"Sanchez, Kennel",11:43,2,4,50%,0,2,0%,0,0,0%,0,0,0,0,2,1,0,0,4
"Dalmau, Christian",40,6,13,46%,5,9,56%,6,6,100%,0,1,1,5,4,3,1,0,33
"Lee, Carmelo Antrone",27:13,1,3,33%,2,3,67%,0,0,0%,0,5,5,2,4,0,0,0,8
"Shannon, Terrence",36:46,3,7,43%,0,1,0%,5,6,83%,3,10,13,7,1,3,1,0,11
"Barbosa, Raymond",15:26,3,5,60%,0,1,0%,1,3,33%,0,0,0,3,1,2,3,0,7
"Mojica, Javier",24:29,1,2,50%,2,3,67%,2,2,100%,1,4,5,4,4,1,1,0,10
"Rickert, Rick",30:43,8,13,62%,0,0,0%,0,0,0%,5,7,12,3,2,0,0,3,16
"Lopez, Ivan",6,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,1,0,1,2
Totals:,,27,52,52%,9,19,47%,14,17,82%,9,27,36,24,20,12,6,4,95
