Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Diaz, Guillermo",18:18,0,3,0%,1,3,33%,0,0,0%,0,4,4,1,1,2,1,0,3
"Rodriguez, Andres",22:45,0,1,0%,0,1,0%,0,0,0%,0,6,6,9,0,0,1,0,0
"Alvarado, Omar J.",17:02,2,3,67%,1,3,33%,0,0,0%,0,1,1,4,1,0,0,0,7
"Ayuso, Elias 'Larry'",30:11,3,7,43%,4,11,36%,3,4,75%,0,1,1,1,1,0,1,0,21
"Orozco, William",0:46,0,0,0%,1,2,50%,0,0,0%,0,0,0,0,0,0,0,0,3
"Latimer, Antonio",18:34,2,4,50%,1,1,100%,1,2,50%,2,1,3,0,1,1,0,0,8
"Cortes, David",21:50,2,5,40%,4,4,100%,2,2,100%,0,3,3,4,1,2,2,0,18
"Pinnock, Danilo",25:44,4,11,36%,0,4,0%,1,2,50%,3,4,7,2,1,3,0,0,9
"Santiago, Daniel 'Danny'",19:04,6,8,75%,0,0,0%,0,1,0%,0,7,7,1,4,1,0,4,12
"Aubry, Jeffrion",23:56,1,2,50%,0,0,0%,0,0,0%,3,9,12,0,3,1,3,4,2
"Caro, Ismael",1:43,0,1,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0
Totals:,,20,45,44%,12,30,40%,7,11,64%,8,36,44,23,14,10,8,8,83
