Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Maura, Kevin 'K.J.'",22:58,2,3,67%,0,2,0%,0,0,0%,0,1,1,4,0,1,0,0,4
"Rudd, Victor",34:18,3,7,43%,1,4,25%,4,5,80%,0,9,9,2,3,3,0,0,13
"Abreu, Álex",20:16,1,4,25%,1,4,25%,0,0,0%,0,0,0,0,2,2,0,0,5
"Vaughn, Dimencio",33:40,4,8,50%,1,4,25%,1,2,50%,1,2,3,2,3,3,1,0,12
"Febres, Jase",27:06,1,2,50%,2,6,33%,0,0,0%,0,3,3,1,1,2,1,2,8
"Piñeiro, Juan Pablo",13:08,1,4,25%,0,0,0%,0,0,0%,0,1,1,2,3,1,2,0,2
"Elijah, Holman",30:10,5,9,56%,0,0,0%,0,2,0%,2,9,11,1,2,0,0,1,10
"Garcia, Angel 'Piwi'",3:41,0,2,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,1,0,0
"Brady, Chris",14:43,2,2,100%,3,4,75%,2,2,100%,1,2,3,0,2,0,0,1,15
Totals:,,19,41,46%,8,25,32%,7,11,64%,4,27,31,12,16,12,5,4,69
