Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Gonzalez, Javier",28:34,4,8,50%,2,4,50%,2,3,67%,0,1,1,5,4,2,0,0,16
"Pacheco, Georgie",23:15,3,8,38%,1,1,100%,2,2,100%,3,2,5,4,0,0,2,0,11
"Huertas, Hiram",13:24,0,1,0%,0,1,0%,2,2,100%,0,0,0,0,1,0,0,0,2
"Penn, Kleon",9:42,1,2,50%,0,0,0%,0,0,0%,4,2,6,0,1,0,0,0,2
"Gibson, Kyle",24:31,0,6,0%,0,4,0%,1,2,50%,0,6,6,3,2,2,0,0,1
"Mercurius, Dinero",1:55,0,1,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Ortiz, Chris",40,2,6,33%,4,7,57%,6,7,86%,0,2,2,0,1,3,2,0,22
"McCauley, Ben",30:18,7,9,78%,1,3,33%,0,0,0%,2,2,4,6,4,0,3,2,17
"Franklin, Alexander",28:21,3,4,75%,0,3,0%,1,2,50%,1,11,12,3,2,0,1,0,7
Totals:,,20,45,44%,9,24,38%,14,18,78%,10,26,36,21,15,7,8,2,81
