Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Holloway, Terrell 'Tu'",27:12,1,5,20%,1,4,25%,1,1,100%,1,0,1,2,1,3,2,0,6
"Clemente, Ramon",22:44,0,4,0%,2,3,67%,1,2,50%,2,1,3,0,3,0,1,0,7
"Soto, Joseph",20:59,3,4,75%,1,2,50%,0,0,0%,0,1,1,5,3,2,2,0,9
"Rosario, Mike",15:36,1,5,20%,0,5,0%,0,0,0%,1,0,1,0,1,0,0,0,2
"Daniels, Will",30:39,6,12,50%,3,7,43%,6,8,75%,2,5,7,4,3,0,1,1,27
"Carmona, Alejandro 'Bimbo'",17:19,2,5,40%,0,0,0%,4,4,100%,1,8,9,0,0,0,1,0,8
"Colón, Alexis 'Bebo'",20:42,2,3,67%,1,4,25%,0,0,0%,2,1,3,3,4,0,0,0,7
"Hernández, Luis 'Pelacoco'",1:34,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,2,1,0,0,0
"Díaz, Jorge Brian",25:05,3,6,50%,0,1,0%,0,0,0%,3,3,6,1,2,0,2,2,6
"Emory, Carlos",18:10,1,1,100%,1,3,33%,0,0,0%,1,3,4,3,2,0,1,1,5
Totals:,,19,45,42%,9,29,31%,12,15,80%,13,22,35,18,21,6,10,4,77
