Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Suárez, Rasham",10:17,1,2,50%,0,0,0%,0,0,0%,1,1,2,2,0,1,1,0,2
"Jenkins, Lorenzo",28:37,0,3,0%,1,5,20%,0,0,0%,1,2,3,0,0,0,0,0,3
"Fernández, Tjader",19:36,3,5,60%,3,6,50%,0,0,0%,0,2,2,7,4,0,0,0,15
"Santos, Kenneth",8:50,0,0,0%,0,2,0%,0,0,0%,0,3,3,1,3,0,0,0,0
"Belardo, Gabriel J.",20:55,1,7,14%,0,0,0%,0,0,0%,1,2,3,4,0,4,1,0,2
"Branch, Onzie",26:09,5,7,71%,1,1,100%,3,4,75%,3,2,5,2,2,3,0,0,16
"Villaman, Pedro",3:36,2,3,67%,0,0,0%,0,1,0%,1,1,2,0,1,0,0,0,4
"Aminu, Alade",21:08,4,13,31%,0,1,0%,7,7,100%,3,8,11,0,2,0,0,0,15
"Fontaine, Isaiah",15:13,0,1,0%,0,0,0%,1,2,50%,0,4,4,1,2,1,1,0,1
"Matos, Jorge L.",17:58,1,2,50%,2,3,67%,4,5,80%,0,0,0,1,3,1,1,0,12
"Glover, Jordan",3:05,0,0,0%,0,0,0%,2,2,100%,0,1,1,0,0,0,0,0,2
"Bass, Paris",20:46,4,4,100%,2,5,40%,3,4,75%,1,1,2,1,2,5,1,0,17
"Quinones, Javier A",3:50,0,0,0%,2,3,67%,0,0,0%,0,0,0,0,0,1,0,0,6
Totals:,,21,47,45%,11,26,42%,20,25,80%,11,27,38,19,19,16,5,0,95
