Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rodriguez, Erick",8:38,0,1,0%,1,3,33%,0,0,0%,0,1,1,1,1,0,1,0,3
"Western, Franklin",14:08,6,7,86%,0,0,0%,3,3,100%,1,2,3,0,0,0,2,0,15
"Dalmau, Christian",26:35,4,5,80%,3,8,38%,5,5,100%,1,0,1,5,4,7,2,0,22
"Soto, Josue",0:55,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Ramirez, Sean",0:55,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Peavy, Nathan",25:33,2,8,25%,1,1,100%,0,2,0%,5,0,5,0,3,0,1,1,7
"Lopez, Ivan",17:37,1,3,33%,0,0,0%,0,0,0%,0,5,5,0,3,0,0,0,2
"Lee, Carmelo Antrone",36:44,2,4,50%,3,8,38%,0,0,0%,3,8,11,2,1,1,1,1,13
"Barbosa, Raymond",0:55,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Agbai, Uka",19:45,5,5,100%,0,0,0%,2,6,33%,1,3,4,1,4,2,1,0,12
"Mojica, Javier",27:26,1,2,50%,1,3,33%,2,2,100%,0,1,1,4,2,3,1,0,7
"Santiago, Orlando",20:49,0,2,0%,3,5,60%,0,0,0%,1,0,1,5,1,1,5,0,9
Totals:,,21,38,55%,12,28,43%,12,18,67%,12,20,32,18,19,14,14,2,90
