Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Torres, Dario",0:57,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Nieves, Roberto",34:51,10,15,67%,0,3,0%,3,4,75%,2,1,3,2,3,4,1,0,23
"Caro, Ismael",30:25,5,7,71%,3,8,38%,2,3,67%,0,8,8,8,3,3,2,0,21
"Orozco, William",22:39,2,6,33%,3,7,43%,0,0,0%,3,3,6,1,3,2,2,1,13
"Rosa, Luis",7:42,2,4,50%,0,0,0%,0,0,0%,2,1,3,0,1,1,0,0,4
"Ayala, Sadell",23:41,3,3,100%,0,1,0%,0,0,0%,3,2,5,2,2,2,1,1,6
"Nieves, Joel",12:07,2,3,67%,0,1,0%,1,2,50%,1,0,1,0,1,0,0,0,5
"Jackson, Curtis",11:38,0,1,0%,0,2,0%,0,0,0%,0,0,0,2,1,2,0,0,0
"Guitián, José",33:33,1,2,50%,5,8,63%,0,0,0%,2,4,6,1,0,0,3,2,17
"Morales, Jean Carlos",22:27,1,2,50%,0,0,0%,1,2,50%,2,3,5,2,4,0,0,0,3
Totals:,,26,43,60%,11,30,37%,7,11,64%,15,22,37,18,18,14,9,4,92
