Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",8:56,0,3,0%,0,1,0%,2,2,100%,1,0,1,0,1,0,0,0,2
"Rodriguez, Angel Daniel",30:21,6,9,67%,0,2,0%,2,4,50%,0,7,7,14,2,3,3,0,14
"Carattini, Víctor",6:20,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Pérez, Owen",4:52,1,1,100%,0,0,0%,0,2,0%,1,2,3,0,1,0,0,0,2
"Negron, Alexis J.",1:43,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Santiago, Jr., Benito",32:10,0,3,0%,0,4,0%,2,2,100%,0,2,2,0,3,0,0,0,2
",",1:43,0,0,0%,0,0,0%,1,2,50%,0,0,0,0,1,0,0,0,1
"Romero, Ismael",20:41,3,5,60%,0,0,0%,0,0,0%,0,3,3,1,3,1,1,1,6
"Cuascut, Luis D",4:48,1,1,100%,1,1,100%,0,0,0%,1,0,1,0,1,0,0,0,5
"Bruesewitz, Michael J.",25:40,0,1,0%,5,7,71%,2,2,100%,0,4,4,1,4,1,1,0,17
"Mojica, Javier",32:45,4,9,44%,9,10,90%,1,2,50%,0,1,1,2,0,1,2,0,36
"Uter, Adrian",22:38,3,5,60%,0,0,0%,0,0,0%,1,4,5,4,2,1,1,0,6
"Cruz, Alvin",7:23,0,2,0%,0,1,0%,0,0,0%,0,1,1,0,3,0,0,0,0
Totals:,,18,40,45%,15,26,58%,10,16,63%,4,24,28,22,21,7,8,1,91
