Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ocasio, Jonathan",31:07,6,11,55%,0,4,0%,0,0,0%,0,4,4,4,2,1,0,0,12
"Barham, Marcus",23:45,2,3,67%,2,5,40%,1,1,100%,1,0,1,2,1,0,0,0,11
"Mauras, Khary",25:40,1,5,20%,0,2,0%,1,2,50%,1,2,3,5,3,0,1,0,3
"Cambo, Anthony",14:48,1,1,100%,0,0,0%,0,0,0%,1,0,1,1,0,1,1,0,2
"Mickle, Kevin",31:15,5,9,56%,1,1,100%,0,0,0%,2,6,8,2,3,2,1,0,13
"Rivera, Félix",28:13,7,11,64%,0,0,0%,1,4,25%,4,5,9,2,2,0,0,0,15
"Thomas, Elijah",20:32,6,8,75%,1,6,17%,2,4,50%,1,4,5,3,1,0,2,1,17
"Mercurius, Dinero",24:39,2,4,50%,0,2,0%,2,2,100%,1,2,3,2,3,3,1,0,6
Totals:,,30,52,58%,4,20,20%,7,13,54%,11,23,34,21,15,7,6,1,79
