Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ocasio, Jonathan",29:47,0,5,0%,0,3,0%,5,6,83%,0,3,3,1,0,1,1,0,5
"Barham, Marcus",22:27,1,5,20%,5,9,56%,2,2,100%,2,0,2,2,0,0,1,0,19
"Mauras, Khary",26:58,3,3,100%,1,1,100%,0,0,0%,0,0,0,11,5,3,3,0,9
"Vazquez, Brian",28,5,10,50%,3,6,50%,2,2,100%,2,2,4,1,5,1,3,0,21
"Cambo, Anthony",27:20,0,5,0%,1,3,33%,2,2,100%,1,1,2,2,4,0,0,0,5
"Millet, Melvin",1:03,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Jordan, Jalen",8:18,1,3,33%,0,1,0%,0,0,0%,1,1,2,0,0,0,0,0,2
"Rial, Fabian",1:03,0,0,0%,0,0,0%,3,4,75%,0,1,1,0,1,0,0,0,3
"Mickle, Kevin",20:40,1,5,20%,0,0,0%,0,2,0%,2,3,5,0,2,1,0,1,2
"Rivera, Félix",18:12,3,9,33%,0,0,0%,2,5,40%,2,2,4,2,4,2,1,0,8
"McCoy, Brandon",16:12,5,9,56%,0,0,0%,7,10,70%,5,5,10,0,3,3,1,0,17
Totals:,,19,54,35%,10,23,43%,23,33,70%,15,18,33,19,24,11,10,1,91
