Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rolón, Tyquan",37:05,4,7,57%,1,5,20%,3,3,100%,0,6,6,5,3,3,1,0,14
"Crawford, E.J.",19:52,3,3,100%,2,3,67%,1,1,100%,1,0,1,2,1,1,0,0,13
"Han, Francis Jonathan",34:21,1,1,100%,4,5,80%,4,4,100%,0,3,3,6,4,4,5,0,18
"Orozco, William",10:34,0,0,0%,0,2,0%,0,0,0%,0,1,1,2,1,1,0,1,0
"Bishop, Tony",36:37,3,7,43%,2,7,29%,4,5,80%,2,9,11,2,2,3,0,0,16
"Brimah, Amida Abiola",32:49,3,8,38%,0,0,0%,3,6,50%,4,4,8,0,1,1,0,2,9
"Stockton, David",28:42,2,6,33%,4,8,50%,3,3,100%,0,4,4,6,3,0,0,0,19
Totals:,,16,32,50%,13,30,43%,18,22,82%,7,27,34,23,15,13,6,3,89
