Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ortiz, Kenneth",9:17,0,1,0%,0,2,0%,0,0,0%,0,1,1,1,0,0,0,0,0
"López, Carlos 'Yao'",30:01,2,4,50%,0,1,0%,0,0,0%,1,4,5,4,1,0,0,0,4
"Rosas, Samuel",25:49,2,6,33%,0,0,0%,1,2,50%,1,2,3,4,3,2,0,0,5
"Figueroa, Carlos",0:17,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Mitchell, Tony",25:36,4,7,57%,0,1,0%,0,0,0%,3,5,8,0,3,4,0,3,8
"Martínez, Wil",11:51,1,2,50%,0,2,0%,0,0,0%,0,0,0,0,1,2,0,0,2
"Valdez, Carlos",0:46,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Cintrón, Raymond",33,0,3,0%,3,6,50%,4,4,100%,0,3,3,4,3,3,2,0,13
"Santiago, Jr., Benito",23:35,2,4,50%,1,3,33%,3,3,100%,0,6,6,2,0,1,0,2,10
"Chaney, Richard",22:23,2,5,40%,0,1,0%,0,0,0%,0,3,3,0,1,1,0,1,4
"Johnson, Dane",10:19,4,7,57%,0,0,0%,0,0,0%,1,3,4,0,3,2,0,0,8
"Gierbolini, Joel",6:58,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,3,0,0,0,0
Totals:,,17,39,44%,4,16,25%,8,9,89%,6,27,33,15,18,15,2,6,54
