Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Western, Franklin",7:25,0,3,0%,0,0,0%,3,4,75%,0,1,1,1,1,0,2,0,3
"Sanchez, Kennel",5:39,2,3,67%,0,1,0%,2,3,67%,0,2,2,1,1,1,0,0,6
"Dalmau, Christian",35:04,4,10,40%,2,5,40%,0,0,0%,1,0,1,10,5,2,0,0,14
"Lee, Carmelo Antrone",37:17,2,7,29%,1,3,33%,1,2,50%,1,9,10,1,4,1,0,3,8
"Shannon, Terrence",36:11,3,5,60%,2,3,67%,0,0,0%,2,5,7,2,4,5,1,2,12
"Barbosa, Raymond",3:54,1,2,50%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,2
"Mojica, Javier",33:48,2,6,33%,3,4,75%,4,6,67%,1,2,3,2,4,0,2,0,17
"Rickert, Rick",24:14,6,11,55%,0,1,0%,1,3,33%,3,6,9,1,5,3,1,3,13
"Lopez, Ivan",16:28,2,4,50%,0,0,0%,0,0,0%,1,0,1,1,2,2,1,0,4
Totals:,,22,51,43%,8,17,47%,11,18,61%,9,25,34,19,28,14,7,8,79
