Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"López, Carlos 'Yao'",15:36,2,7,29%,0,1,0%,0,0,0%,3,2,5,0,1,0,0,0,4
"Martinez, Carlos",3:38,0,2,0%,0,0,0%,0,0,0%,0,2,2,0,0,1,1,0,0
"Figueroa, Carlos",20:57,4,5,80%,1,3,33%,0,1,0%,1,5,6,0,1,0,0,0,11
"Sosa, Isaac",16:48,1,1,100%,2,4,50%,0,0,0%,0,2,2,1,0,0,0,0,8
"Browne, Gary",17:54,0,3,0%,0,4,0%,0,0,0%,0,1,1,6,0,0,0,0,0
"Franklin, Alexander",20:50,3,5,60%,1,4,25%,3,5,60%,0,2,2,2,2,3,0,0,12
"Ruiz, Gabriel",16:29,2,3,67%,0,0,0%,2,2,100%,1,3,4,0,2,0,0,1,6
"Polo, Tyler",11:02,3,3,100%,0,1,0%,0,0,0%,1,2,3,1,1,0,1,0,6
"Cruz, William",22:03,1,3,33%,1,2,50%,1,2,50%,3,7,10,4,2,0,0,0,6
"Graham, Paul",20:29,1,6,17%,0,1,0%,2,3,67%,0,1,1,6,1,0,1,0,4
"Keenan, Justin",9:50,3,4,75%,0,0,0%,0,0,0%,1,2,3,2,1,2,0,0,6
"Ebanks, Devin",1:50,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Branch, Onzie",22:28,3,9,33%,1,5,20%,2,3,67%,3,5,8,1,2,3,1,0,11
Totals:,,23,51,45%,6,25,24%,10,16,63%,13,34,47,23,13,9,4,1,74
