Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Suárez, Rasham",35:34,3,4,75%,2,2,100%,2,3,67%,0,3,3,8,2,3,2,0,14
"Díaz, Jorge Brian",13:24,2,2,100%,1,2,50%,0,0,0%,1,0,1,1,1,0,0,0,7
"Daniels, Will",35:17,6,10,60%,2,5,40%,4,4,100%,1,7,8,5,2,0,1,0,22
"Rodriguez, Ernesto",5:42,0,1,0%,0,0,0%,3,4,75%,0,0,0,1,2,0,0,0,3
"Morales, Luis Damian",29:05,2,6,33%,2,4,50%,0,0,0%,1,4,5,4,2,0,2,0,10
"Ayuso, Elias 'Larry'",37:09,6,10,60%,1,6,17%,4,4,100%,0,1,1,0,2,2,2,0,19
"Rivera, Jesus",2:50,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Petro, Johan",30,5,12,42%,0,0,0%,1,2,50%,5,11,16,0,2,2,1,0,11
"Garcia, Angel 'Piwi'",10:54,0,2,0%,1,2,50%,0,0,0%,1,0,1,1,0,0,0,0,3
Totals:,,25,48,52%,9,21,43%,14,17,82%,9,26,35,20,13,7,8,0,91
