Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rivera, Robin",6:55,1,3,33%,0,0,0%,3,6,50%,0,1,1,0,0,2,0,0,5
"Ortiz, Chris",33:02,3,10,30%,2,5,40%,0,4,0%,2,1,3,3,1,0,0,0,12
"Berdiel, Miguel 'Ali'",28:19,3,5,60%,2,5,40%,0,1,0%,1,5,6,3,2,2,3,0,12
"Johnson, Anthony",25:28,4,12,33%,0,0,0%,1,1,100%,3,6,9,0,2,1,0,0,9
"Penn, Kleon",12:59,0,1,0%,0,0,0%,0,0,0%,1,0,1,0,0,0,0,1,0
"Piñeiro, Juan Pablo",26:37,2,4,50%,0,1,0%,0,0,0%,1,3,4,1,0,2,1,1,4
"Fillyaw, Marcus",36:36,1,3,33%,5,8,63%,0,0,0%,0,3,3,2,3,0,2,0,17
"Costner, Brandon",30,1,5,20%,1,4,25%,6,6,100%,0,5,5,2,2,4,0,0,11
Totals:,,15,43,35%,10,23,43%,10,18,56%,8,24,32,11,10,11,6,2,70
