Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rosario, Mike",30:52,3,7,43%,5,10,50%,2,2,100%,0,1,1,7,0,2,2,1,23
"García, Jonathan",19:14,0,0,0%,1,2,50%,2,2,100%,1,2,3,2,1,1,1,0,5
"Trimble, Romelo 'Melo'",23:19,2,5,40%,1,2,50%,1,2,50%,0,3,3,5,3,1,2,0,8
"Carmona, Alejandro 'Bimbo'",26:50,4,7,57%,2,3,67%,0,0,0%,1,0,1,2,2,2,2,0,14
"Colón, Alexis 'Bebo'",11:52,0,1,0%,0,1,0%,1,2,50%,0,0,0,1,1,0,0,0,1
"Hernández, Luis 'Pelacoco'",16:45,4,7,57%,0,0,0%,3,6,50%,2,4,6,0,1,1,1,2,11
"Polo, Tyler",4:48,0,0,0%,0,0,0%,1,2,50%,0,1,1,0,1,0,0,0,1
"Díaz, Jorge Brian",29:27,2,6,33%,0,1,0%,0,2,0%,3,1,4,4,4,0,1,3,4
"Guzmán, Ánsel",3:02,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Terry, Reyshawn",17:37,3,6,50%,0,3,0%,2,2,100%,0,4,4,3,3,0,0,0,8
"Alamo, Angel 'Junito'",16:08,0,3,0%,0,1,0%,0,0,0%,2,1,3,1,1,2,1,0,0
Totals:,,18,42,43%,9,24,38%,12,20,60%,9,17,26,25,17,9,10,6,75
