Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Pena, Antonio",21:03,2,3,67%,4,8,50%,1,1,100%,2,1,3,1,2,0,1,0,17
"Hinson, Darnell",17:38,0,1,0%,3,6,50%,2,2,100%,0,1,1,1,4,1,0,0,11
"Colón, Benjamín",0:24,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Carmona, Alejandro 'Bimbo'",35:32,5,8,63%,0,2,0%,2,2,100%,0,5,5,2,1,1,3,0,12
"Piñeiro, Juan Pablo",22:32,0,5,0%,0,1,0%,0,0,0%,1,1,2,0,3,4,0,0,0
"Phelps, Eugene",29:39,6,9,67%,0,0,0%,12,15,80%,3,7,10,6,2,1,2,0,24
"Ramos, Enrique",5:44,0,2,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,1,1,0
"Franklin, Jamal",26:31,1,6,17%,0,3,0%,2,3,67%,1,7,8,4,2,6,1,1,4
"Strong, Carlos",17:43,0,0,0%,1,1,100%,0,2,0%,1,4,5,3,0,0,0,0,3
"Penn, Kleon",23:07,3,5,60%,0,0,0%,2,3,67%,3,2,5,0,1,2,0,4,8
Totals:,,17,39,44%,8,21,38%,21,28,75%,11,28,39,17,16,15,8,6,79
