Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Soto, Joseph",24:12,1,2,50%,1,3,33%,3,6,50%,0,5,5,4,3,2,0,0,8
"Gonzalez, Javier",15:47,1,3,33%,0,1,0%,0,0,0%,0,1,1,2,1,0,1,0,2
"Dawson, Eric",33,6,12,50%,0,0,0%,4,5,80%,3,9,12,2,0,1,2,0,16
"Carattini, Víctor",4:05,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Galindo, Alex",21:28,1,3,33%,2,9,22%,1,1,100%,2,1,3,2,3,1,1,0,9
"Clemente, Ramon",26:25,2,2,100%,1,1,100%,0,1,0%,0,2,2,1,2,1,2,1,7
"Romero, Ismael",20:29,4,6,67%,0,0,0%,0,0,0%,1,4,5,2,4,0,0,0,8
"Green, Rodney",21:01,5,9,56%,0,3,0%,2,2,100%,0,1,1,2,4,2,0,0,12
"Mojica, Javier",33:29,5,8,63%,2,7,29%,2,3,67%,1,2,3,5,1,2,1,0,18
Totals:,,25,45,56%,6,24,25%,12,18,67%,7,25,32,20,18,9,7,1,80
