Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Holloway, Terrell 'Tu'",30:05,2,5,40%,0,1,0%,1,3,33%,0,4,4,8,2,2,2,0,5
"Clemente, Ramon",13:23,0,1,0%,0,0,0%,3,4,75%,1,3,4,0,4,2,0,2,3
"Soto, Joseph",9:55,1,1,100%,0,0,0%,0,0,0%,0,1,1,2,1,1,1,0,2
"Rodriguez, Jose G.",27:27,2,6,33%,2,4,50%,2,2,100%,1,2,3,3,3,1,0,0,12
"Rosario, Mike",30:29,3,5,60%,3,5,60%,0,0,0%,0,2,2,2,4,3,0,0,15
"Daniels, Will",27:02,5,7,71%,0,2,0%,2,2,100%,3,5,8,2,3,3,1,1,12
"Pineiro, Isaiah",23:51,4,6,67%,0,0,0%,0,0,0%,1,4,5,2,2,2,1,1,8
"Carmona, Alejandro 'Bimbo'",8:14,1,3,33%,0,2,0%,0,0,0%,0,2,2,0,1,0,0,0,2
"Colón, Alexis 'Bebo'",3:48,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,2,0,1,0,0
"Díaz, Jorge Brian",25:46,5,8,63%,0,1,0%,1,1,100%,0,0,0,1,2,0,0,0,11
Totals:,,23,42,55%,5,15,33%,9,12,75%,6,23,29,20,24,14,6,4,70
