Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Clemente, Ramon",9:51,1,1,100%,0,0,0%,1,4,25%,2,2,4,0,5,1,0,0,3
"Ramirez, Luis S.",5:59,1,2,50%,1,1,100%,0,0,0%,0,0,0,0,1,0,0,0,5
"Duran, Cliff",19:26,1,6,17%,1,1,100%,0,0,0%,0,3,3,3,5,2,3,0,5
"Efejuku-Rose, Weyinmi",25:52,6,10,60%,1,5,20%,2,2,100%,3,1,4,5,3,1,1,0,17
"Sosa, Isaac",3:40,0,1,0%,1,3,33%,0,0,0%,0,1,1,0,0,2,0,0,3
"Ortiz, Andres",16:43,2,4,50%,0,0,0%,6,6,100%,1,2,3,0,1,1,1,0,10
"Ruiz, Gabriel",2:32,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Cotto, Rubén",12:05,4,4,100%,1,4,25%,0,0,0%,0,0,0,0,0,1,0,0,11
"Hamilton, Kevin",25:42,4,9,44%,0,2,0%,0,0,0%,2,2,4,6,4,1,1,0,8
"Pinnock, Danilo",34:43,5,8,63%,0,7,0%,2,2,100%,0,3,3,1,0,3,4,1,12
"Aubry, Jeffrion",20:02,4,4,100%,0,0,0%,4,4,100%,2,2,4,0,3,1,2,2,12
"Gransberry, Kentrell",17:54,1,3,33%,0,0,0%,3,4,75%,1,6,7,1,4,2,0,0,5
"Valencia, Florentino",5:26,0,0,0%,0,0,0%,0,0,0%,1,0,1,1,1,0,1,0,0
Totals:,,29,52,56%,5,23,22%,18,22,82%,12,22,34,17,27,15,13,3,91
