Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Alvarado, Omar J.",11:35,0,0,0%,0,1,0%,0,0,0%,0,2,2,1,2,0,0,0,0
"Guzmán, Ánsel",29:45,5,10,50%,0,1,0%,4,8,50%,4,4,8,1,2,2,0,0,14
"Abraham, Ryann",10:39,1,2,50%,1,2,50%,2,2,100%,1,3,4,1,1,0,0,0,7
"Barbosa, Raymond",25:28,0,2,0%,4,6,67%,1,2,50%,1,3,4,1,1,0,1,0,13
"Imes, David",2:45,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,3,1,0,0,0
"Shannon, Terrence",33:01,6,11,55%,1,3,33%,2,4,50%,4,2,6,1,5,3,0,2,17
"Garcia, Angel 'Piwi'",31:20,5,7,71%,0,3,0%,1,3,33%,2,5,7,4,3,5,3,1,11
"Mojica, Javier",33:28,3,8,38%,1,5,20%,5,6,83%,3,2,5,3,3,4,0,0,14
"Ebi, Ndudu",21:55,1,4,25%,0,1,0%,0,0,0%,0,4,4,2,3,2,1,1,2
Totals:,,21,44,48%,7,22,32%,15,25,60%,15,25,40,14,23,17,5,4,78
