Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Forbes, Gary",19:20,3,4,75%,0,2,0%,8,11,73%,2,2,4,1,1,1,0,0,14
"Moultrie, Arnett",23:09,3,8,38%,0,0,0%,0,0,0%,1,5,6,4,2,0,0,1,6
"García, Jonathan",24:24,0,2,0%,4,5,80%,0,0,0%,0,1,1,4,1,5,0,0,12
"Alvarado, Omar J.",22:19,1,4,25%,1,6,17%,1,2,50%,0,4,4,3,2,5,0,0,6
"Colón, Alexis 'Bebo'",21:48,1,1,100%,1,2,50%,0,0,0%,1,3,4,2,3,2,2,0,5
"Milbourne, Landon",22:23,5,6,83%,0,1,0%,0,2,0%,0,2,2,3,5,1,4,1,10
"Pagan, Wilfredo",15:35,3,5,60%,0,1,0%,0,0,0%,1,2,3,3,2,0,1,0,6
"Meléndez, Ricardo 'Ricky'",11:50,2,4,50%,2,4,50%,0,0,0%,1,0,1,0,2,0,1,0,10
"Sánchez, Ricardo 'Ricky'",39:07,4,8,50%,2,5,40%,1,2,50%,3,3,6,1,3,0,1,1,15
Totals:,,22,42,52%,10,26,38%,10,17,59%,9,22,31,21,21,14,9,3,84
