Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Lee, Carmelo Antrone",26:48,0,3,0%,0,3,0%,0,0,0%,1,3,4,2,1,0,1,2,0
"García, Jonathan",30:01,0,6,0%,3,6,50%,0,0,0%,0,5,5,3,3,3,2,0,9
"Colón, Alexis 'Bebo'",18:20,0,1,0%,2,2,100%,0,0,0%,1,2,3,0,2,0,0,0,6
"Ubiles, Edwin",6:23,0,1,0%,0,1,0%,0,0,0%,0,2,2,0,0,1,0,0,0
"Efejuku-Rose, Weyinmi",34:25,5,10,50%,1,1,100%,1,2,50%,2,6,8,2,3,2,0,0,14
"Meléndez, Ricardo 'Ricky'",16:32,3,6,50%,1,3,33%,4,5,80%,2,1,3,1,1,0,0,0,13
"Ibekwe, Ekenechukwu",21:24,4,5,80%,0,1,0%,0,2,0%,0,3,3,0,3,0,1,1,8
"Sánchez, Ricardo 'Ricky'",36:04,5,8,63%,1,4,25%,2,4,50%,0,3,3,2,3,0,2,0,15
"Jones, Dominique",9:58,1,3,33%,0,0,0%,0,2,0%,0,0,0,1,4,1,1,0,2
Totals:,,18,43,42%,8,21,38%,7,15,47%,6,25,31,11,20,7,7,3,67
