Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"De Jesús, Jezreel",35:05,10,13,77%,4,7,57%,1,1,100%,1,4,5,3,1,1,1,0,33
"Ford, Aleem",30:44,3,3,100%,1,3,33%,2,2,100%,1,4,5,0,3,0,0,1,11
"Thompson, Deon",24:11,6,9,67%,0,0,0%,1,1,100%,1,2,3,1,4,1,0,1,13
"Zambrana, Xavier",1:31,1,3,33%,0,0,0%,0,0,0%,1,0,1,0,0,0,0,0,2
"Guitián, José",15:24,0,0,0%,2,4,50%,0,0,0%,0,5,5,1,2,0,0,1,6
"Cruz, Ismael Yomar",5:28,1,3,33%,0,0,0%,0,0,0%,1,1,2,0,0,0,0,0,2
"Cheatham, Haanif",5:25,0,0,0%,0,0,0%,0,0,0%,0,1,1,2,0,1,0,0,0
"López, Carlos 'Yao'",6:09,0,0,0%,0,0,0%,0,0,0%,0,3,3,0,1,0,0,0,0
"López, Luis",2,0,0,0%,1,1,100%,0,0,0%,1,0,1,1,0,1,0,0,3
"Rivera, Carlos Rubén",8:17,0,0,0%,1,3,33%,1,2,50%,1,0,1,1,1,1,1,0,4
"Renfroe, Alex",31:29,3,3,100%,5,9,56%,2,2,100%,1,3,4,11,2,0,1,0,23
"Murphy, Jordan",25:18,3,8,38%,0,1,0%,6,8,75%,3,5,8,1,2,2,0,1,12
"Vassallo, Ángel Daniel",8:59,0,0,0%,0,3,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,27,42,64%,14,31,45%,13,16,81%,11,28,39,21,16,7,3,4,109
