Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Duran, Cliff",7:47,1,1,100%,1,1,100%,0,2,0%,1,2,3,0,0,0,1,0,5
"Galindo, Alex",26:26,0,1,0%,0,4,0%,2,2,100%,1,2,3,6,1,1,1,1,2
"Wilkins, Damien",32:37,7,13,54%,0,1,0%,2,2,100%,0,0,0,0,3,4,0,0,16
"Rivera, Filiberto",37:39,2,4,50%,4,7,57%,5,8,63%,1,5,6,6,2,2,1,0,21
"Strong, Carlos",15:28,1,2,50%,0,1,0%,0,0,0%,1,3,4,0,2,1,1,0,2
"Willliams, Jawad",37:45,4,8,50%,2,5,40%,0,0,0%,0,4,4,5,1,3,3,0,14
"Gaston, Chris",13:38,2,6,33%,0,0,0%,0,0,0%,1,1,2,0,1,2,0,1,4
"Parada, Adam",28:35,4,9,44%,0,0,0%,5,8,63%,7,8,15,0,4,3,0,1,13
Totals:,,21,44,48%,7,19,37%,14,22,64%,12,25,37,17,14,16,7,3,77
