Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mendoza, Rigoberto",31:45,3,6,50%,2,6,33%,0,0,0%,0,6,6,1,1,1,0,1,12
"Fernández, Tjader",0:47,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Han, Francis Jonathan",16:56,1,1,100%,0,2,0%,0,0,0%,0,1,1,4,1,2,0,0,2
"Orta, Raul",5:08,0,0,0%,0,3,0%,0,0,0%,0,1,1,1,0,0,0,0,0
"Abreu, Álex",22:16,2,4,50%,1,4,25%,0,0,0%,0,2,2,5,2,1,1,0,7
"Santiago, Nathanael",0:47,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,0,0,0,0,0
"Rodríguez, Jonathan",16:40,3,4,75%,0,0,0%,0,0,0%,2,1,3,0,0,1,2,0,6
"Clavell, Gilberto",32:59,5,13,38%,0,1,0%,2,2,100%,5,2,7,2,1,2,0,0,12
"Batista, Leonel",0:47,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Guitián, José",23:19,0,0,0%,2,4,50%,0,0,0%,0,2,2,0,3,0,0,2,6
"Matos, Jorge L.",3:05,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,2,0,0,0
"Gaston, Chris",15:31,1,7,14%,0,0,0%,2,4,50%,3,3,6,0,4,1,0,1,4
"Pérez, Owen",17:52,4,8,50%,0,0,0%,0,0,0%,2,5,7,2,3,1,0,1,8
"Samhan, Omar",12:01,0,2,0%,0,0,0%,1,2,50%,1,1,2,0,4,1,0,0,1
Totals:,,19,46,41%,5,20,25%,5,8,63%,13,25,38,15,20,12,3,5,58
