Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rodriguez, Erick",12:17,1,2,50%,2,6,33%,1,2,50%,0,5,5,1,1,1,0,1,9
"Western, Franklin",24:13,7,11,64%,0,0,0%,4,5,80%,2,3,5,1,1,1,2,0,18
"Dalmau, Christian",35:15,5,6,83%,2,3,67%,6,8,75%,1,6,7,7,4,2,0,0,22
"McGowan, Glen",36:10,9,15,60%,0,4,0%,6,7,86%,5,4,9,1,2,2,0,0,24
"Lopez, Ivan",15:01,2,4,50%,0,0,0%,3,6,50%,5,3,8,2,3,2,0,0,7
"Smith, Jabari",23:10,4,7,57%,0,1,0%,4,4,100%,3,4,7,4,3,2,1,0,12
"Mojica, Javier",35:46,1,3,33%,1,2,50%,0,0,0%,2,3,5,1,2,3,1,0,5
"Santiago, Orlando",18:08,0,0,0%,0,2,0%,1,2,50%,0,1,1,3,3,2,0,0,1
Totals:,,29,48,60%,5,18,28%,25,34,74%,18,29,47,20,19,15,4,1,98
