Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Burtt, Steven",34:19,5,8,63%,3,7,43%,3,4,75%,1,2,3,4,2,8,1,0,22
"Ortiz, Kenneth",3:27,2,2,100%,0,0,0%,1,2,50%,1,0,1,0,2,1,0,0,5
"Rosas, Samuel",2:12,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Figueroa, Carlos",0:50,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Mitchell, Tony",33:48,4,6,67%,0,1,0%,0,0,0%,1,6,7,0,2,3,1,1,8
"Martínez, Wil",16:14,1,2,50%,0,2,0%,0,0,0%,0,0,0,1,0,0,1,0,2
"Cintrón, Raymond",19:46,1,1,100%,0,5,0%,2,2,100%,0,1,1,0,0,1,0,0,4
"Santiago, Jr., Benito",23:10,3,3,100%,0,3,0%,3,3,100%,0,2,2,1,3,3,0,0,9
"Chaney, Richard",26:11,3,7,43%,2,2,100%,0,0,0%,3,5,8,1,0,1,0,0,12
"Johnson, Dane",18:07,1,4,25%,0,0,0%,2,4,50%,7,2,9,0,3,0,0,0,4
"Gierbolini, Joel",21:49,2,4,50%,0,0,0%,0,0,0%,2,5,7,0,4,0,2,1,4
Totals:,,22,37,59%,5,21,24%,11,15,73%,15,23,38,7,16,17,5,2,70
