Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Suárez, Rasham",28:19,0,0,0%,1,3,33%,1,2,50%,0,2,2,3,2,3,0,0,4
"Villafane, Luis",4:15,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,1,0,0,0
"Ubiles, Edwin",29:24,3,8,38%,2,4,50%,4,6,67%,0,2,2,2,3,0,3,0,16
"Martinez, Jack Michael",29:41,2,5,40%,0,1,0%,7,10,70%,3,5,8,1,4,0,0,0,11
"Orozco, William",13:12,0,1,0%,0,0,0%,0,0,0%,1,2,3,1,1,0,0,2,0
"Butler, Nathaniel",9:34,2,2,100%,0,1,0%,1,3,33%,2,3,5,1,3,1,0,0,5
"Ortiz, Kenneth",11:58,0,2,0%,0,0,0%,0,0,0%,0,3,3,3,0,0,0,0,0
"English, Carl",27:22,1,6,17%,1,4,25%,5,6,83%,0,3,3,1,4,6,1,0,10
"Costner, Brandon",32:49,7,11,64%,2,5,40%,8,11,73%,6,6,12,3,5,1,1,1,28
"Branch, Onzie",13:19,0,1,0%,0,0,0%,4,4,100%,1,1,2,0,1,1,0,0,4
Totals:,,15,36,42%,6,18,33%,30,42,71%,13,27,40,15,23,13,5,3,78
