Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Western, Franklin",18:56,3,6,50%,0,0,0%,0,0,0%,0,2,2,0,0,2,2,0,6
"Sanchez, Kennel",3:05,1,1,100%,0,1,0%,0,0,0%,0,1,1,0,1,0,0,0,2
"Hatton, Roberto Jose 'Bobby Joe'",33:09,6,10,60%,2,7,29%,1,1,100%,3,3,6,3,3,3,1,0,19
"Lee, Carmelo Antrone",25:08,1,4,25%,0,3,0%,0,0,0%,2,1,3,0,2,1,0,3,2
"Shannon, Terrence",40,8,17,47%,0,1,0%,4,4,100%,5,3,8,5,3,2,3,1,20
"Barbosa, Raymond",6:35,1,1,100%,1,1,100%,0,0,0%,0,2,2,0,0,0,0,0,5
"Mojica, Javier",36:22,4,9,44%,0,6,0%,0,2,0%,1,4,5,2,3,2,2,0,8
"Rickert, Rick",21:04,3,5,60%,0,0,0%,3,4,75%,2,4,6,2,4,0,0,0,9
"Lopez, Ivan",15:41,1,2,50%,0,0,0%,0,2,0%,1,4,5,2,3,2,0,0,2
Totals:,,28,55,51%,3,19,16%,8,13,62%,14,24,38,14,19,12,8,4,73
