Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Soto, Joseph",24:38,5,7,71%,1,5,20%,0,0,0%,1,3,4,5,3,3,0,0,13
"Gonzalez, Javier",24:56,4,10,40%,0,0,0%,4,4,100%,2,6,8,2,1,2,5,0,12
"Dawson, Eric",20:01,3,4,75%,0,0,0%,1,2,50%,2,4,6,0,3,1,0,1,7
"Carattini, Víctor",0:09,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Galindo, Alex",16:56,1,1,100%,1,5,20%,1,1,100%,0,0,0,2,1,0,1,0,6
"Clemente, Ramon",27:09,4,7,57%,0,1,0%,3,5,60%,5,1,6,3,3,1,1,1,11
"Romero, Ismael",29:24,5,8,63%,0,0,0%,6,14,43%,2,4,6,1,3,2,2,0,16
"Green, Rodney",25:58,4,9,44%,0,1,0%,0,0,0%,1,0,1,1,2,3,0,0,8
"Mojica, Javier",30:43,2,4,50%,1,8,13%,2,2,100%,1,1,2,3,3,0,2,0,9
Totals:,,28,50,56%,3,20,15%,17,28,61%,14,19,33,17,19,12,11,2,82
