Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Theodore, Jordan",22:02,7,10,70%,1,2,50%,5,6,83%,1,2,3,3,1,1,0,0,22
"Belardo, Gabriel J.",12:35,2,3,67%,1,4,25%,0,0,0%,0,2,2,2,1,1,0,0,7
"Dalmau, Christian",18:39,1,3,33%,3,3,100%,4,4,100%,0,6,6,5,2,1,1,0,15
"Ayuso, Elias 'Larry'",15:30,0,2,0%,1,7,14%,3,3,100%,0,1,1,2,0,0,0,0,6
"Morales, Ferdinand",21:09,1,4,25%,3,5,60%,2,2,100%,1,2,3,2,2,3,0,0,13
"Valdez, Carlos",27:01,3,7,43%,0,0,0%,0,1,0%,3,6,9,2,1,1,1,1,6
"Villegas, Johwen",14:41,2,2,100%,1,5,20%,0,0,0%,0,2,2,0,2,1,0,0,7
"Cruz, Alvin",15:21,1,1,100%,0,1,0%,0,0,0%,1,3,4,4,0,0,1,0,2
"Latimer, Antonio",14:01,0,1,0%,1,2,50%,0,0,0%,0,2,2,0,1,2,0,0,3
"Alamo, Angel 'Junito'",15:26,4,5,80%,0,0,0%,0,1,0%,1,2,3,0,3,0,0,0,8
"Narvaez, Manuel Antonio",23:30,6,10,60%,0,1,0%,2,5,40%,6,4,10,2,4,0,0,2,14
Totals:,,27,48,56%,11,30,37%,16,22,73%,13,32,45,22,17,10,3,3,103
