Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Wilson, Jamil",35:41,1,4,25%,3,6,50%,3,4,75%,0,10,10,3,3,4,0,0,14
"Miranda, Johanns",20:02,0,3,0%,2,5,40%,1,2,50%,0,3,3,4,4,2,3,0,7
"Henriquez, Luis",9:13,2,2,100%,0,0,0%,0,0,0%,2,0,2,1,0,1,0,1,4
"Cheatham, Haanif",21:53,1,2,50%,1,4,25%,0,0,0%,0,5,5,5,4,2,1,1,5
"Wheeler, Phillip",31:56,6,12,50%,0,3,0%,7,9,78%,4,4,8,0,3,1,0,0,19
"Rivera, Félix",11:27,2,4,50%,0,0,0%,0,0,0%,1,0,1,0,1,2,0,0,4
"Emory, Carlos",35:27,1,3,33%,4,7,57%,2,2,100%,2,2,4,6,0,1,2,0,16
"Robinson, Thomas",34:21,3,7,43%,0,2,0%,6,11,55%,4,7,11,5,4,5,1,0,12
Totals:,,16,37,43%,10,27,37%,19,28,68%,13,31,44,24,19,18,7,2,81
