Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mendoza, Rigoberto",28:16,7,11,64%,2,6,33%,4,4,100%,2,8,10,1,1,2,0,0,24
"Fernández, Tjader",5:37,0,1,0%,0,1,0%,0,0,0%,0,0,0,2,1,0,0,0,0
"Han, Francis Jonathan",11:33,0,3,0%,0,0,0%,0,0,0%,0,1,1,1,2,1,0,0,0
"Orta, Raul",7:22,1,2,50%,0,0,0%,0,0,0%,1,3,4,0,0,0,0,0,2
"Abreu, Álex",22:19,0,1,0%,0,1,0%,0,0,0%,0,1,1,5,3,4,2,0,0
"Santiago, Nathanael",0:15,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Rodríguez, Jonathan",6:50,0,0,0%,2,3,67%,0,0,0%,0,1,1,1,0,0,0,0,6
"Clavell, Gilberto",23:29,4,7,57%,0,2,0%,2,2,100%,1,1,2,2,0,1,0,0,10
"Batista, Leonel",2:29,0,2,0%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,1,0
"Andújar, Emmanuel 'Emmy'",19:58,3,3,100%,1,1,100%,0,0,0%,1,4,5,3,1,2,0,0,9
"Guitián, José",13:50,0,0,0%,1,4,25%,0,0,0%,0,3,3,0,1,0,0,0,3
"Matos, Jorge L.",4:20,1,1,100%,0,2,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Gaston, Chris",24:13,5,6,83%,0,1,0%,4,6,67%,3,6,9,0,1,1,0,3,14
"Pérez, Owen",9:04,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,1,1,1,0,0
"Samhan, Omar",20:17,2,5,40%,0,1,0%,3,6,50%,1,4,5,2,3,2,1,0,7
Totals:,,23,43,53%,6,22,27%,13,18,72%,9,33,42,17,16,14,4,4,77
