Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Pellot, Jesse",30:10,3,10,30%,2,4,50%,6,6,100%,3,2,5,3,1,3,1,0,18
"Martinez, Freddie",9:05,1,1,100%,1,1,100%,0,0,0%,0,1,1,0,0,0,0,0,5
"Ramirez, Luis S.",4:19,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,1,0,0,0,0
"Vega, Christopher",28:42,4,8,50%,0,0,0%,6,8,75%,0,2,2,4,2,4,2,0,14
"Baker, Maurice",33:01,2,4,50%,4,7,57%,1,3,33%,0,3,3,4,3,3,1,0,17
"Ruiz, Gabriel",10:04,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,2,0,1,0,2
"Villegas, Johwen",18:18,2,2,100%,3,4,75%,2,4,50%,2,1,3,1,1,1,0,0,15
"De Jesus, Manuel",35:34,3,3,100%,3,5,60%,0,0,0%,0,3,3,2,2,2,1,2,15
"Dyer, Alphonse",30:47,3,5,60%,0,1,0%,2,8,25%,4,10,14,2,4,2,1,6,8
Totals:,,19,34,56%,13,22,59%,17,29,59%,9,22,31,17,16,15,7,8,94
