Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rolón, Tyquan",33:07,1,1,100%,3,4,75%,2,2,100%,0,5,5,4,2,2,0,0,13
"Crawford, E.J.",10:16,0,1,0%,2,3,67%,0,0,0%,0,1,1,2,1,1,0,0,6
"Han, Francis Jonathan",6:31,0,0,0%,0,0,0%,0,0,0%,0,1,1,1,3,0,0,0,0
"Davis, Brandon",0:03,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Nuñez, Angel",30:06,4,6,67%,2,9,22%,0,0,0%,0,5,5,3,1,1,0,1,14
"Balkman, Renaldo",35:38,11,15,73%,0,2,0%,6,6,100%,3,2,5,1,4,2,0,0,28
"Stone, Diamond",37:15,9,17,53%,0,2,0%,2,3,67%,4,5,9,3,3,1,0,0,20
"Young, Kevin",7:07,1,1,100%,0,1,0%,0,0,0%,0,3,3,0,2,0,1,0,2
"Stockton, David",39:57,6,9,67%,2,7,29%,4,5,80%,1,3,4,15,1,1,3,1,22
Totals:,,32,50,64%,9,28,32%,14,16,88%,8,25,33,29,17,8,4,2,105
