Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Williams, Marcus",29:55,1,5,20%,3,5,60%,0,0,0%,1,3,4,8,1,4,2,0,11
"Rosario, Mike",36:09,5,7,71%,2,5,40%,6,7,86%,1,2,3,2,1,6,0,0,22
"Carmona, Alejandro 'Bimbo'",23:17,1,5,20%,1,2,50%,0,0,0%,1,5,6,4,2,0,0,0,5
"Hernández, Luis 'Pelacoco'",14:21,4,6,67%,0,0,0%,0,1,0%,2,0,2,1,2,1,0,2,8
"Polo, Tyler",0:56,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Díaz, Jorge Brian",25:38,3,6,50%,0,0,0%,0,0,0%,0,5,5,1,1,1,0,1,6
"Meléndez, Ricardo 'Ricky'",23:20,0,3,0%,3,4,75%,4,4,100%,1,0,1,1,2,0,0,0,13
"Terry, Reyshawn",27:37,8,11,73%,0,0,0%,8,8,100%,4,4,8,4,4,3,0,0,24
"Rodriguez, Ernesto",10:23,0,1,0%,0,0,0%,0,0,0%,0,2,2,1,3,1,0,0,0
"Alamo, Angel 'Junito'",8:20,1,2,50%,0,0,0%,0,0,0%,1,1,2,0,3,0,0,0,2
Totals:,,23,46,50%,9,16,56%,18,20,90%,11,22,33,22,19,16,2,3,91
