Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ramirez, Luis S.",9:35,0,3,0%,0,0,0%,0,0,0%,0,3,3,2,1,2,1,0,0
"Duran, Cliff",30:34,6,12,50%,0,2,0%,2,2,100%,2,3,5,3,1,2,3,0,14
"Efejuku-Rose, Weyinmi",35:08,4,7,57%,1,3,33%,8,10,80%,1,5,6,3,1,1,1,0,19
"Sosa, Isaac",6:33,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,1,1,0,0,3
"Ortiz, Andres",25:38,3,9,33%,0,0,0%,0,0,0%,1,2,3,2,3,2,1,1,6
"Cotto, Rubén",12:53,0,1,0%,1,3,33%,0,0,0%,0,0,0,2,0,1,0,0,3
"Pinnock, Danilo",37:15,5,11,45%,1,4,25%,0,0,0%,0,6,6,2,2,1,2,1,13
"Aubry, Jeffrion",18:11,2,2,100%,0,0,0%,2,2,100%,2,0,2,2,1,0,0,2,6
"Gransberry, Kentrell",21:30,4,7,57%,0,0,0%,1,4,25%,4,4,8,1,2,1,1,0,9
"Valencia, Florentino",2:38,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
Totals:,,24,53,45%,4,13,31%,13,18,72%,10,23,33,17,13,11,9,4,73
