Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Josiah, Jahvari",22:52,4,4,100%,0,0,0%,1,2,50%,2,5,7,2,3,0,2,2,9
"Reese, Derek",36:42,6,8,75%,1,5,20%,1,2,50%,5,8,13,2,3,2,2,0,16
"Ortiz, Evander J.",18:34,2,4,50%,1,1,100%,3,5,60%,0,1,1,4,3,0,0,0,10
"Amaro, Max J",2:05,0,0,0%,1,2,50%,0,0,0%,0,0,0,0,0,0,0,0,3
"Lopez, Jose Enrique",2:37,0,2,0%,0,0,0%,0,0,0%,1,0,1,2,1,0,0,0,0
"Smith, Russ",28:47,10,15,67%,2,5,40%,6,7,86%,0,6,6,3,5,2,1,0,32
"Suero, Gerardo",27:27,3,8,38%,1,8,13%,5,8,63%,1,2,3,5,3,2,0,0,14
"Meléndez, Ricardo 'Ricky'",19:28,0,1,0%,4,6,67%,2,2,100%,0,1,1,1,0,0,0,0,14
"Gines, Jose",2:05,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Torres, Julian",2:03,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,2,0,0,0,2
"Ramos, Enrique",13:41,1,5,20%,0,0,0%,0,0,0%,2,0,2,1,3,0,0,0,2
"Matos, Jorge L.",23:39,1,2,50%,2,2,100%,1,2,50%,1,0,1,3,2,1,1,0,9
Totals:,,28,50,56%,12,29,41%,19,28,68%,12,23,35,23,26,7,6,2,111
