Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mendoza, Rigoberto",29:54,2,7,29%,4,8,50%,3,4,75%,0,4,4,4,2,1,1,0,19
"Andújar, Emmanuel 'Emmy'",8:32,0,1,0%,0,0,0%,0,0,0%,0,2,2,2,0,0,0,1,0
"Han, Francis Jonathan",15:21,1,1,100%,1,3,33%,1,2,50%,0,1,1,4,2,0,1,0,6
"Figueroa, Carlos",4:26,0,0,0%,0,0,0%,1,2,50%,0,0,0,0,0,0,0,0,1
"Abreu, Álex",24:38,1,1,100%,2,4,50%,2,2,100%,3,1,4,5,0,0,1,0,10
"Ledo, Ricardo",27:43,2,10,20%,2,6,33%,4,4,100%,3,4,7,4,1,1,2,1,14
"Clavell, Gilberto",19:08,4,7,57%,0,1,0%,3,4,75%,1,5,6,0,1,1,0,1,11
"Hernández, Luis 'Pelacoco'",7:41,2,4,50%,0,0,0%,0,0,0%,1,1,2,0,3,1,0,1,4
"Behanan, Chane",27:51,6,10,60%,0,1,0%,4,6,67%,4,5,9,1,2,1,0,0,16
"Guitián, José",20:21,1,1,100%,3,6,50%,0,0,0%,0,1,1,0,4,0,0,0,11
"Gaston, Chris",14:20,1,3,33%,0,0,0%,0,0,0%,2,3,5,1,3,0,0,0,2
Totals:,,20,45,44%,12,29,41%,18,24,75%,14,27,41,21,18,5,5,4,94
