Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mojica, Sammy",5:58,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,1,0,0,0,0
"Gonzalez, Javier",22:23,2,4,50%,0,1,0%,0,0,0%,1,0,1,9,1,3,0,0,4
"Duran, Cliff",21:52,1,4,25%,1,3,33%,0,0,0%,0,0,0,3,1,1,0,0,5
"Nuñez, Angel",17:49,0,2,0%,1,7,14%,2,2,100%,2,1,3,2,1,0,0,0,5
"Santiago, Jr., Benito",31:43,2,4,50%,4,6,67%,0,0,0%,0,5,5,0,2,1,2,1,16
"Hernandez, Dewan",36:11,7,17,41%,1,1,100%,5,6,83%,5,8,13,2,3,1,0,1,22
"Romero, Ismael",26,5,12,42%,0,0,0%,3,9,33%,3,3,6,3,3,1,0,1,13
"Mojica, Javier",38:04,4,6,67%,5,6,83%,0,1,0%,3,2,5,3,2,2,4,0,23
Totals:,,21,49,43%,12,24,50%,10,18,56%,14,20,34,22,14,9,6,3,88
