Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rosario, Mike",35:19,8,12,67%,3,11,27%,5,6,83%,2,4,6,2,2,3,1,0,30
"García, Jonathan",35:08,0,1,0%,2,6,33%,0,0,0%,1,2,3,11,1,3,3,0,6
"Jimenez, Giovanni",5:05,0,0,0%,1,1,100%,0,0,0%,0,0,0,0,0,0,0,0,3
"Carmona, Alejandro 'Bimbo'",26:50,2,4,50%,2,6,33%,1,1,100%,0,4,4,2,2,0,2,0,11
"Hernández, Luis 'Pelacoco'",18:37,3,5,60%,0,1,0%,2,3,67%,1,4,5,0,3,1,2,3,8
"Díaz, Jorge Brian",32:23,4,4,100%,0,0,0%,4,6,67%,2,4,6,2,3,4,0,1,12
"Chaney, Richard",11:29,1,1,100%,0,2,0%,0,0,0%,0,1,1,0,4,1,1,0,2
"Rodriguez, Ernesto",4:51,0,0,0%,1,1,100%,2,2,100%,0,0,0,0,1,1,1,0,5
"Smith, Donta",30:14,4,7,57%,1,2,50%,1,2,50%,0,7,7,8,5,4,2,0,12
Totals:,,22,34,65%,10,30,33%,15,20,75%,6,26,32,25,21,17,12,4,89
