Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Efejuku-Rose, Weyinmi",32:12,0,3,0%,0,0,0%,0,0,0%,1,2,3,2,0,0,0,0,0
"Rosario, Mike",28:10,3,4,75%,2,3,67%,2,2,100%,3,1,4,2,0,2,0,0,14
"Villegas, Johwen",22:17,3,7,43%,0,2,0%,2,2,100%,1,1,2,1,1,1,0,0,8
"Gaston, Chris",11:08,2,2,100%,0,0,0%,2,5,40%,1,1,2,1,4,1,0,0,6
"Emory, Carlos",7:22,0,1,0%,1,1,100%,1,2,50%,0,1,1,0,1,0,1,0,4
"Rivera, Carlos Rubén",35:54,3,4,75%,1,4,25%,1,1,100%,0,1,1,3,2,2,0,0,10
"Santiago, Eddin",4:05,0,1,0%,0,0,0%,1,2,50%,0,0,0,1,0,0,0,0,1
"Harris, Mike",35:54,4,13,31%,4,6,67%,5,6,83%,2,4,6,2,3,2,2,0,25
"Narvaez, Manuel Antonio",2:35,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Siler, Garret",30:12,5,9,56%,0,0,0%,2,4,50%,1,6,7,0,3,0,1,1,12
Totals:,,20,44,45%,8,16,50%,16,24,67%,9,17,26,12,14,8,4,1,80
