Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ramirez, Luis S.",27:11,1,9,11%,1,2,50%,2,2,100%,2,3,5,6,2,1,2,0,7
"Efejuku-Rose, Weyinmi",33:28,4,11,36%,2,6,33%,5,6,83%,3,4,7,0,1,4,0,0,19
"Nieves, Anthony",0:46,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Ortiz, Andres",12,2,2,100%,0,0,0%,0,0,0%,0,1,1,1,2,2,1,0,4
"Ruiz, Gabriel",12:37,0,5,0%,0,0,0%,1,2,50%,0,0,0,0,2,0,0,0,1
"Cotto, Rubén",12:18,1,1,100%,3,3,100%,0,0,0%,0,0,0,1,0,0,0,0,11
"Santiago, Jr., Benito",2:50,0,0,0%,0,0,0%,2,2,100%,0,0,0,0,0,1,0,0,2
"Pinnock, Danilo",38:57,0,6,0%,2,6,33%,0,0,0%,1,9,10,2,0,1,1,0,6
"Aubry, Jeffrion",15:18,0,2,0%,0,0,0%,0,0,0%,2,3,5,0,4,1,0,2,0
"Gransberry, Kentrell",21:59,4,10,40%,0,0,0%,2,8,25%,7,3,10,0,3,2,1,2,10
"Valencia, Florentino",22:28,5,9,56%,0,0,0%,0,0,0%,3,3,6,0,4,2,1,0,10
Totals:,,17,55,31%,8,17,47%,12,20,60%,18,26,44,10,18,14,6,4,70
