Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Dawson, Eric",29:44,3,4,75%,0,0,0%,2,2,100%,0,11,11,2,1,0,1,1,8
"Burgos, Jeffrey Daniel",1,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,2,1,0,0,0
"Ortiz, Chris",33:49,3,6,50%,2,6,33%,3,3,100%,0,2,2,1,2,0,1,0,15
"Arroyo, Carlos",27:19,4,9,44%,3,5,60%,2,2,100%,0,1,1,6,1,0,1,0,19
"Martínez, Wil",25:15,3,7,43%,3,10,30%,4,4,100%,0,1,1,0,2,1,1,0,19
"Rivera, Filiberto",21:02,5,7,71%,1,3,33%,3,3,100%,0,0,0,4,1,0,0,0,16
"Cruz, Alvin",17:19,1,1,100%,2,4,50%,0,0,0%,1,1,2,2,2,0,0,0,8
"Young, Kevin",21:18,1,4,25%,1,2,50%,1,1,100%,2,5,7,2,4,1,0,0,6
"Samhan, Omar",23:10,2,6,33%,0,1,0%,2,2,100%,4,3,7,1,2,0,1,2,6
Totals:,,22,44,50%,12,31,39%,17,17,100%,7,25,32,18,17,3,5,3,97
