Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Viñales, Kyle",37:53,1,2,50%,1,4,25%,4,4,100%,0,7,7,9,2,2,0,0,9
"Rolón, Tyquan",24:44,2,3,67%,1,4,25%,3,4,75%,0,5,5,6,1,1,0,0,10
"Crawford, E.J.",12:48,1,2,50%,1,3,33%,2,2,100%,0,1,1,0,1,1,2,0,7
"Georges Hunt, Marcus",35:05,4,8,50%,2,6,33%,3,5,60%,1,3,4,1,4,1,1,0,17
"Orozco, William",2:30,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Early, Jeff",17:23,3,5,60%,1,3,33%,3,3,100%,2,1,3,0,1,0,0,0,12
"Basabe, Melsahn",2:10,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,2,1,0,0,0
"Moore, Ben",31:11,3,8,38%,0,1,0%,3,3,100%,2,3,5,1,5,1,1,1,9
"Balkman, Renaldo",36:16,4,10,40%,2,3,67%,3,3,100%,0,6,6,4,2,0,2,1,17
Totals:,,18,38,47%,8,24,33%,21,24,88%,5,27,32,22,18,7,6,2,81
