Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Josiah, Jahvari",40,7,12,58%,1,3,33%,6,10,60%,3,2,5,2,3,1,3,1,23
"Davis, Brandon",18:56,0,1,0%,0,1,0%,0,0,0%,0,1,1,1,1,3,1,0,0
"Maldonado, Diego",18:57,2,4,50%,0,4,0%,0,0,0%,1,0,1,1,0,0,0,0,4
"Penn, Kleon",14:31,0,0,0%,0,0,0%,0,0,0%,1,3,4,0,0,1,0,2,0
"Perkins, Joshua",32:07,6,11,55%,2,4,50%,1,3,33%,1,3,4,4,4,3,1,0,19
"Reese, Derek",25:29,6,9,67%,0,2,0%,3,5,60%,3,5,8,1,1,3,0,0,15
"Santiago, Carlos G.",0:37,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"McCauley, Ben",39:23,4,9,44%,2,7,29%,5,6,83%,1,5,6,2,3,0,0,0,19
"Mauras, Khary",10,0,1,0%,0,0,0%,0,0,0%,1,0,1,1,0,1,1,0,0
Totals:,,25,47,53%,5,21,24%,15,24,63%,11,19,30,12,12,12,6,3,80
