Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mac, Sheldon",30:01,2,4,50%,2,8,25%,5,7,71%,0,3,3,1,3,3,1,0,15
"Conditt IV, George",24:20,6,12,50%,0,2,0%,2,3,67%,5,7,12,1,3,1,0,3,14
"García, Jonathan",32:24,2,7,29%,3,3,100%,2,5,40%,0,3,3,7,1,0,2,0,15
"Zambrana, Xavier",2:10,1,1,100%,0,0,0%,0,0,0%,1,0,1,0,2,1,0,0,2
"Ortiz, Jose",18:05,1,2,50%,0,2,0%,0,0,0%,2,3,5,2,3,1,0,0,2
"Carmona, Alejandro 'Bimbo'",13:55,1,5,20%,0,2,0%,0,0,0%,3,1,4,2,0,0,0,0,2
"Aminu, Alade",23:53,4,11,36%,0,0,0%,2,4,50%,7,6,13,1,1,1,0,0,10
"Guitián, José",29:37,1,1,100%,1,4,25%,0,0,0%,0,2,2,2,3,2,1,0,5
"Cruz, Jesus",18:10,2,5,40%,0,2,0%,0,0,0%,1,3,4,1,1,2,1,1,4
"Rodriguez, Ernesto",7:25,0,0,0%,1,1,100%,0,0,0%,0,1,1,1,4,0,0,0,3
Totals:,,20,48,42%,7,24,29%,11,19,58%,19,29,48,18,21,11,5,4,72
