,Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS,Team
,,,,,,,,,,,,,,,,,,,,,Humacao
1,"Pacheco, Georgie",26:51,2,5,40%,3,4,75%,5,6,83%,0,2,2,1,1,0,0,0,18,Humacao
7,"Swing, Jordan",27:05,5,7,71%,2,6,33%,0,0,0%,0,8,8,4,5,1,1,0,16,Humacao
8,"Millet, Melvin",8:15,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,3,0,0,0,0,Humacao
10,"Rivera, Luis A",9:55,0,0,0%,3,5,60%,0,0,0%,0,0,0,2,0,0,1,0,9,Humacao
12,"Belardo, Gabriel J.",28:19,1,6,17%,0,1,0%,2,2,100%,3,4,7,4,2,3,0,0,4,Humacao
15,"Parker-Rivera, Timajh",30:33,5,14,36%,0,0,0%,2,3,67%,7,4,11,5,3,0,0,0,12,Humacao
20,"Lake, De'Quon",31:54,7,9,78%,0,0,0%,1,3,33%,1,3,4,4,4,1,1,3,15,Humacao
21,"Butler, Nathaniel",11:23,2,4,50%,0,0,0%,0,0,0%,0,1,1,1,5,1,0,0,4,Humacao
30,"Matos, Jorge L.",17:11,1,3,33%,3,4,75%,1,2,50%,1,3,4,2,3,0,0,0,12,Humacao
32,"Sánchez, Ricardo 'Ricky'",8:34,0,0,0%,0,1,0%,0,0,0%,0,1,1,0,0,0,0,0,0,Humacao
,Totals:,,23,49,47%,11,21,52%,11,16,69%,12,26,38,23,26,6,3,3,90,Humacao
