,Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS,Team
,,,,,,,,,,,,,,,,,,,,,Fajardo
2,"Amaro, Max J",6:27,0,2,0%,0,0,0%,0,0,0%,0,0,0,1,1,0,0,0,0,Fajardo
5,"Allende, Leandro",21:33,1,4,25%,0,3,0%,0,0,0%,0,2,2,0,1,0,1,0,2,Fajardo
6,"Clark, Earl",25:10,3,7,43%,1,3,33%,0,0,0%,1,2,3,1,0,1,0,0,9,Fajardo
7,"Maura, Kevin 'K.J.'",9:33,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0,Fajardo
11,"Abreu, Álex",19:42,0,2,0%,2,6,33%,3,3,100%,0,2,2,3,1,2,0,0,9,Fajardo
15,"Ralat, Antonio",12:51,0,1,0%,0,1,0%,1,2,50%,0,2,2,1,3,1,0,0,1,Fajardo
21,"Gandia, Ivan",18:57,0,0,0%,1,3,33%,0,0,0%,0,1,1,4,0,3,0,0,3,Fajardo
22,"Andújar, Emmanuel 'Emmy'",26:06,5,12,42%,0,2,0%,0,0,0%,3,2,5,1,3,2,1,0,10,Fajardo
24,"Burgos, Jeffrey Daniel",16:30,4,9,44%,1,2,50%,0,1,0%,3,3,6,0,1,1,0,0,11,Fajardo
25,"Jefferson, Davon",23:02,4,11,36%,0,0,0%,0,1,0%,4,7,11,2,2,1,0,0,8,Fajardo
30,"Ortiz, Eric",3:11,1,2,50%,1,1,100%,0,0,0%,0,0,0,0,1,0,0,0,5,Fajardo
43,"Brady, Chris",16:58,4,5,80%,1,5,20%,1,2,50%,3,6,9,2,2,2,0,2,12,Fajardo
,Totals:,,22,55,40%,7,27,26%,5,9,56%,14,27,41,15,15,13,2,2,70,Fajardo
