Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Copeland, Donald",13:27,0,3,0%,0,1,0%,0,0,0%,0,0,0,1,1,0,0,0,0
"Rosario, Mike",31:56,4,8,50%,3,8,38%,2,3,67%,2,2,4,0,2,7,0,0,19
"Spurlock, Tristan",27:57,3,7,43%,0,2,0%,1,2,50%,2,4,6,1,4,1,0,2,7
"Colon, Gabriel 'Pirulo'",7:53,0,1,0%,0,0,0%,0,0,0%,0,1,1,0,0,1,1,0,0
"De Jesus, Manuel",4:15,0,1,0%,0,0,0%,0,0,0%,4,0,4,0,0,0,0,0,0
"Rivera, Carlos Rubén",28:12,4,5,80%,0,6,0%,4,4,100%,1,5,6,4,3,1,0,0,12
"Shannon, Terrence",35:44,2,7,29%,0,0,0%,4,6,67%,0,7,7,2,2,1,1,2,8
"Vassallo, Ángel Daniel",20:23,3,4,75%,0,3,0%,0,0,0%,3,2,5,3,4,2,1,1,6
"Allred, Lance",18:31,4,6,67%,0,0,0%,0,0,0%,1,7,8,0,2,3,0,0,8
"Narvaez, Manuel Antonio",11:35,1,2,50%,0,0,0%,1,2,50%,2,3,5,2,0,0,0,0,3
Totals:,,21,44,48%,3,20,15%,12,17,71%,15,31,46,13,18,16,3,5,63
