Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Mendoza, Rigoberto",36:29,9,14,64%,0,3,0%,2,2,100%,3,8,11,9,3,4,3,2,20
"Martinez, Carlos",20:54,3,4,75%,0,2,0%,3,4,75%,1,2,3,3,3,2,2,0,9
"Jimenez, Carlos Abner",0:24,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Figueroa, Carlos",13:15,2,2,100%,1,2,50%,0,0,0%,0,1,1,1,2,0,1,0,7
"Fernández, Tjader",13:47,0,0,0%,1,3,33%,2,2,100%,0,2,2,0,3,0,0,0,5
"Hernández, Luis 'Pelacoco'",12:16,1,1,100%,0,1,0%,1,2,50%,0,2,2,0,3,1,1,0,3
"Valentin, Roberto A.",0:24,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Johnson, Daniel",31:09,2,8,25%,4,6,67%,6,7,86%,1,4,5,2,3,2,0,0,22
"Behanan, Chane",19:37,0,3,0%,1,1,100%,3,6,50%,1,2,3,2,4,3,2,0,6
"Guitián, José",24:28,0,1,0%,1,5,20%,2,2,100%,0,4,4,2,4,0,1,1,5
"Matos, Jorge L.",8:28,0,0,0%,0,0,0%,0,2,0%,1,0,1,1,2,0,0,0,0
"Gaston, Chris",18:44,2,8,25%,0,0,0%,2,3,67%,2,5,7,1,3,2,0,2,6
Totals:,,19,41,46%,8,23,35%,21,30,70%,9,30,39,21,30,14,10,5,83
