Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Diaz, Guillermo",25:25,7,8,88%,2,5,40%,1,1,100%,3,3,6,1,2,1,0,0,21
"Mendoza, Rigoberto",16:24,1,4,25%,0,2,0%,0,0,0%,2,2,4,1,0,1,1,0,2
"Allende, Leandro",3:57,0,1,0%,0,1,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Maura, Kevin 'K.J.'",19:08,0,0,0%,1,1,100%,0,0,0%,0,1,1,6,5,0,0,0,3
"Rudd, Victor",27:55,5,8,63%,5,8,63%,2,3,67%,0,6,6,2,1,2,0,1,27
"Holland, John",19:52,1,2,50%,2,4,50%,2,2,100%,0,1,1,3,3,2,1,0,10
"Abreu, Álex",19:23,1,2,50%,1,2,50%,0,0,0%,0,0,0,8,1,3,1,0,5
"Clavell, Gilberto",25:15,1,2,50%,5,8,63%,0,0,0%,0,4,4,2,0,2,0,1,17
"Ralat, Antonio",1:57,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Rivas, Juan Ramón",7:57,0,1,0%,0,0,0%,0,0,0%,1,2,3,1,1,0,0,0,0
"Andújar, Emmanuel 'Emmy'",26:42,0,2,0%,2,2,100%,2,2,100%,1,7,8,2,1,1,2,0,8
"Burgos, Jeffrey Daniel",6:05,1,1,100%,0,0,0%,1,4,25%,1,0,1,0,0,1,0,0,3
Totals:,,17,31,55%,18,34,53%,8,12,67%,8,26,34,26,15,13,5,2,96
