Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Rolón, Tyquan",32:10,1,2,50%,0,7,0%,0,0,0%,0,3,3,6,3,1,0,0,2
"Crawford, E.J.",17:52,3,4,75%,2,4,50%,0,0,0%,0,1,1,4,1,0,0,0,12
"Han, Francis Jonathan",25:12,0,0,0%,1,4,25%,0,0,0%,0,3,3,2,2,0,2,0,3
"Early, Jeff",10:10,2,4,50%,0,2,0%,0,0,0%,1,0,1,0,1,0,1,0,4
"Basabe, Melsahn",16:57,3,6,50%,0,0,0%,0,0,0%,1,0,1,1,2,1,0,1,6
"Moore, Ben",34:47,12,20,60%,0,0,0%,4,4,100%,6,9,15,1,1,2,1,3,28
"Balkman, Renaldo",28:16,2,7,29%,0,1,0%,4,4,100%,5,2,7,0,2,0,1,1,8
"Creek, Mitch",34:36,7,12,58%,1,7,14%,2,2,100%,3,6,9,2,0,2,2,0,19
Totals:,,30,55,55%,4,25,16%,10,10,100%,16,24,40,16,12,6,7,5,82
