Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Santos, KJ",14,1,1,100%,0,2,0%,0,0,0%,0,3,3,2,4,1,0,1,2
"Rodriguez, Jose G.",31:35,4,5,80%,2,9,22%,0,0,0%,0,4,4,3,3,1,2,0,14
"Daniels, Will",34:25,6,8,75%,0,5,0%,4,5,80%,3,5,8,3,2,2,1,1,16
"Howard, Jordan",37:10,3,8,38%,7,8,88%,2,3,67%,0,5,5,3,4,4,0,0,29
"Belardo, Gabriel J.",28:42,4,9,44%,2,4,50%,0,0,0%,1,3,4,6,1,2,3,0,14
"Penn, Kleon",4:04,0,0,0%,0,0,0%,2,2,100%,0,1,1,0,0,0,0,0,2
"Fillyaw, Marcus",14:25,0,0,0%,0,0,0%,2,2,100%,0,1,1,4,0,1,1,0,2
"McCauley, Ben",35:38,2,5,40%,1,2,50%,1,4,25%,5,6,11,2,3,3,1,0,8
Totals:,,20,36,56%,12,30,40%,11,16,69%,9,28,37,23,17,14,8,2,87
