Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Verdejo, Jesus",12:16,2,3,67%,1,1,100%,0,0,0%,1,2,3,0,0,1,0,0,7
"Rodriguez, Erick",23:47,1,2,50%,2,4,50%,0,0,0%,0,6,6,4,1,1,0,0,8
"Torres, Andres",17:07,2,3,67%,1,2,50%,1,2,50%,0,0,0,2,2,0,1,0,8
"Thornton, Al",28:02,6,12,50%,0,3,0%,5,5,100%,2,4,6,2,2,1,0,1,17
"Galindo, Alex",35:07,3,5,60%,2,9,22%,0,0,0%,0,3,3,3,3,2,1,0,12
"Vega, Christopher",22:52,0,4,0%,0,0,0%,4,6,67%,1,3,4,3,3,0,2,0,4
"Sanchez, Kennel",1:35,0,0,0%,0,1,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Powell, Josh",38:24,7,18,39%,0,0,0%,2,2,100%,5,5,10,2,4,0,1,1,16
"Vazquez, Tomas",19:09,1,1,100%,1,3,33%,2,4,50%,3,2,5,0,3,0,0,2,7
"Rhymer, Kitwana",1:35,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,1,0,0,0,0
Totals:,,22,48,46%,7,23,30%,14,19,74%,12,26,38,16,19,5,5,4,79
