Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Reese, Derek",29:07,1,5,20%,1,5,20%,6,6,100%,2,5,7,6,4,2,2,1,11
"Fernández, Tjader",24:56,2,6,33%,0,3,0%,0,0,0%,0,1,1,1,1,0,0,0,4
"Suero, Juan Miguel",36:48,10,13,77%,0,1,0%,4,6,67%,0,5,5,5,4,2,3,0,24
"Zambrana, Xavier",6:18,1,2,50%,0,0,0%,1,1,100%,0,0,0,2,3,1,0,0,3
"Ortiz, Evander J.",19:55,3,4,75%,1,2,50%,0,0,0%,0,1,1,3,1,1,0,0,9
"Matos, Jorge L.",2:48,0,1,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Meléndez, Ricardo 'Ricky'",14:58,0,1,0%,1,3,33%,0,0,0%,0,2,2,0,1,1,0,0,3
"Burgos, Jeffrey Daniel",9:58,0,1,0%,0,1,0%,0,0,0%,2,1,3,0,1,2,1,0,0
"Glenn, Robert",34:10,11,14,79%,0,0,0%,1,3,33%,0,4,4,3,1,5,1,1,23
"Josiah, Jahvari",20:57,4,8,50%,0,2,0%,0,0,0%,3,2,5,3,1,0,2,0,8
Totals:,,32,55,58%,3,17,18%,12,16,75%,7,21,28,23,17,14,9,2,85
