Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ocasio, Jonathan",33:28,5,9,56%,1,3,33%,2,2,100%,2,3,5,1,2,0,1,0,15
"Barham, Marcus",13:24,1,3,33%,1,3,33%,0,0,0%,0,1,1,0,0,1,0,0,5
"Mauras, Khary",20:53,4,5,80%,0,1,0%,3,4,75%,0,2,2,0,1,2,1,0,11
"Millet, Melvin",13:51,0,1,0%,0,0,0%,1,2,50%,0,0,0,0,1,1,0,0,1
"Rial, Fabian",2:33,1,1,100%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,2
"Betancourt, Carmelo",19:01,1,2,50%,0,0,0%,0,2,0%,1,1,2,5,3,1,1,0,2
"Rivera, Félix",32:03,8,13,62%,0,0,0%,1,2,50%,3,9,12,2,2,0,0,1,17
"Suero, Gerardo",31:16,4,8,50%,1,3,33%,7,7,100%,0,3,3,4,4,3,3,0,18
"Costner, Brandon",33:32,4,11,36%,1,5,20%,8,10,80%,2,4,6,3,1,2,0,0,19
Totals:,,28,53,53%,4,15,27%,22,29,76%,8,23,31,15,15,10,6,1,90
