Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Viñales, Kyle",31:24,4,10,40%,1,4,25%,0,0,0%,1,4,5,8,2,2,0,0,11
"Suárez, Rasham",10:27,2,3,67%,1,1,100%,1,1,100%,0,0,0,1,2,0,0,0,8
"Martínez, Wil",18:37,1,2,50%,1,3,33%,2,2,100%,1,0,1,0,3,0,0,0,7
"Fillyaw, Marcus",3:22,0,0,0%,0,0,0%,0,0,0%,0,1,1,0,1,1,0,0,0
"Graham, Zach",37:18,2,8,25%,4,5,80%,4,4,100%,0,6,6,1,2,1,2,1,20
"Ramos, Enrique",1:41,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,1,0,0,0,0
"Piñeiro, Juan Pablo",2:41,0,0,0%,0,0,0%,0,0,0%,0,0,0,1,0,0,0,0,0
"Ortiz, Chris",39:07,3,4,75%,0,1,0%,0,0,0%,0,5,5,1,4,3,0,0,6
"Costner, Brandon",39:48,9,14,64%,3,7,43%,2,2,100%,5,7,12,5,2,5,0,0,29
"Penn, Kleon",15:18,1,4,25%,0,0,0%,3,4,75%,1,0,1,0,0,0,0,1,5
"Marrero, DeJuan",0:11,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
Totals:,,22,45,49%,10,21,48%,12,13,92%,8,23,31,17,17,12,2,2,86
