Name,Min,M,A,FG%,M,A,3P%,M,A,FT%,O,D,T,AS,PF,TO,ST,BS,PTS
,,,,,,,,,,,,,,,,,,,
"Ramirez, Luis S.",16:13,1,2,50%,0,1,0%,0,0,0%,1,3,4,5,2,2,0,0,2
"Nieves, Anthony",1:01,1,1,100%,0,0,0%,0,0,0%,1,0,1,0,0,0,0,0,2
"Reyes, Angelo",36:01,4,12,33%,2,3,67%,1,2,50%,5,8,13,1,2,1,1,0,15
"Polynice, Eniel",31:40,4,9,44%,1,6,17%,4,4,100%,4,6,10,10,3,1,2,0,15
"Howard, Ron",16:59,5,7,71%,2,3,67%,0,0,0%,0,1,1,0,5,2,2,0,16
"Orozco, William",32:19,1,4,25%,1,3,33%,4,4,100%,3,6,9,0,1,3,1,4,9
"Ruiz, Jared",1:01,1,2,50%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,2
"Graham, Paul",32:52,4,8,50%,2,4,50%,0,0,0%,2,1,3,4,1,0,1,0,14
"Acevedo, Angel 'Mutombo'",1:01,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0
"Wilkerson, Tyler",28:54,8,12,67%,1,2,50%,3,5,60%,3,4,7,2,4,3,0,0,22
"O'Bryant, Orin",1:52,0,0,0%,0,0,0%,0,0,0%,0,2,2,0,1,0,0,0,0
Totals:,,29,57,51%,9,22,41%,12,15,80%,19,31,50,22,19,12,7,4,97
